NAME           INSTALLED   FIXED IN                    TYPE    VULNERABILITY        SEVERITY  EPSS           RISK   
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-69419       High      < 0.1% (13th)  < 0.1  
python         3.12.12     3.15.0                      binary  CVE-2025-15366       Medium    < 0.1% (17th)  < 0.1  
python         3.12.12     3.15.0                      binary  CVE-2025-15367       Medium    < 0.1% (17th)  < 0.1  
busybox        1.37.0-r19                              apk     CVE-2025-60876       Medium    < 0.1% (16th)  < 0.1  
busybox-binsh  1.37.0-r19                              apk     CVE-2025-60876       Medium    < 0.1% (16th)  < 0.1  
ssl_client     1.37.0-r19                              apk     CVE-2025-60876       Medium    < 0.1% (16th)  < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-66199       Medium    < 0.1% (13th)  < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-66199       Medium    < 0.1% (13th)  < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-15468       Medium    < 0.1% (13th)  < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-15468       Medium    < 0.1% (13th)  < 0.1  
requests       2.31.0      2.32.0                      python  GHSA-9wx4-h78v-vm56  Medium    < 0.1% (13th)  < 0.1  
urllib3        2.0.7       2.6.0                       python  GHSA-gm62-xv2j-4w53  High      < 0.1% (7th)   < 0.1  
urllib3        2.0.7       2.6.0                       python  GHSA-2xpw-w6gg-jr37  High      < 0.1% (6th)   < 0.1  
protobuf       4.25.0      6.33.5                      python  GHSA-7gcm-g887-7qv7  High      < 0.1% (4th)   < 0.1  
protobuf       4.25.0      4.25.8                      python  GHSA-8qvm-5x2c-j2w7  High      < 0.1% (3rd)   < 0.1  
urllib3        2.0.7       2.6.3                       python  GHSA-38jv-5279-wg99  High      < 0.1% (3rd)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-69421       Unknown   < 0.1% (5th)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-69421       Unknown   < 0.1% (5th)   < 0.1  
pip            25.0.1      25.3                        python  GHSA-4xh5-x5gv-qwph  Medium    < 0.1% (5th)   < 0.1  
busybox        1.37.0-r19  1.37.0-r20                  apk     CVE-2025-46394       Low       < 0.1% (8th)   < 0.1  
busybox-binsh  1.37.0-r19  1.37.0-r20                  apk     CVE-2025-46394       Low       < 0.1% (8th)   < 0.1  
ssl_client     1.37.0-r19  1.37.0-r20                  apk     CVE-2025-46394       Low       < 0.1% (8th)   < 0.1  
zipp           3.17.0      3.19.1                      python  GHSA-jfmj-5v4g-7637  Medium    < 0.1% (2nd)   < 0.1  
urllib3        2.0.7       2.5.0                       python  GHSA-pq67-6m6q-mj2v  Medium    < 0.1% (3rd)   < 0.1  
python         3.12.12     *3.13.10, 3.14.1, 3.15.0    binary  CVE-2025-13837       Medium    < 0.1% (4th)   < 0.1  
python         3.12.12     *3.13.10, 3.14.1, 3.15.0a2  binary  CVE-2025-6075        Low       < 0.1% (8th)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-11187       Medium    < 0.1% (1st)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-11187       Medium    < 0.1% (1st)   < 0.1  
busybox        1.37.0-r19  1.37.0-r20                  apk     CVE-2024-58251       Low       < 0.1% (5th)   < 0.1  
busybox-binsh  1.37.0-r19  1.37.0-r20                  apk     CVE-2024-58251       Low       < 0.1% (5th)   < 0.1  
ssl_client     1.37.0-r19  1.37.0-r20                  apk     CVE-2024-58251       Low       < 0.1% (5th)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2026-22795       Medium    < 0.1% (1st)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2026-22795       Medium    < 0.1% (1st)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-68160       Medium    < 0.1% (1st)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-68160       Medium    < 0.1% (1st)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-15469       Medium    < 0.1% (0th)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-15469       Medium    < 0.1% (0th)   < 0.1  
libcrypto3     3.5.4-r0    3.5.5-r0                    apk     CVE-2025-69418       Medium    < 0.1% (0th)   < 0.1  
libssl3        3.5.4-r0    3.5.5-r0                    apk     CVE-2025-69418       Medium    < 0.1% (0th)   < 0.1
